noted_date,temp,out/in
01/03/2022 10:00,21.4,In
01/03/2022 11:00,23.41,In
01/03/2022 12:00,22.62,In
01/03/2022 13:00,23.57,In
01/03/2022 14:00,22.67,In
01/03/2022 15:00,22.36,In
01/03/2022 16:00,24.17,In
01/03/2022 17:00,23.87,In
01/03/2022 18:00,20.91,In
01/03/2022 19:00,20.76,In
01/03/2022 20:00,18.43,In
01/03/2022 21:00,15.67,In
01/03/2022 22:00,15.43,In
01/03/2022 23:00,15.6,In
01/04/2022 00:00,12.76,In
01/04/2022 01:00,14.08,In
01/04/2022 02:00,10.0,In
01/04/2022 03:00,13.19,In
01/04/2022 04:00,12.91,In
01/04/2022 05:00,13.4,In
01/04/2022 06:00,15.11,In
01/04/2022 07:00,14.06,In
01/04/2022 08:00,17.74,In
01/04/2022 09:00,19.98,In
01/04/2022 10:00,22.77,In
01/04/2022 11:00,21.62,In
01/04/2022 12:00,22.23,In
01/04/2022 13:00,23.19,In
01/04/2022 14:00,25.1,In
01/04/2022 15:00,24.19,In
01/04/2022 16:00,22.56,In
01/04/2022 17:00,22.86,In
01/04/2022 18:00,21.12,In
01/04/2022 19:00,20.72,In
01/04/2022 20:00,17.16,In
01/04/2022 21:00,16.05,In
01/04/2022 22:00,14.53,In
01/04/2022 23:00,12.0,In
01/05/2022 00:00,13.16,In
01/05/2022 01:00,12.52,In
01/05/2022 02:00,12.01,In
01/05/2022 03:00,11.92,In
01/05/2022 04:00,11.11,In
01/05/2022 05:00,13.25,In
01/05/2022 06:00,14.59,In
01/05/2022 07:00,15.48,In
01/05/2022 08:00,17.81,In
01/05/2022 09:00,20.04,In
01/05/2022 10:00,23.26,In
01/05/2022 11:00,22.45,In
01/05/2022 12:00,23.51,In
01/05/2022 13:00,23.71,In
01/05/2022 14:00,21.7,In
01/05/2022 15:00,23.76,In
01/05/2022 16:00,23.27,In
01/05/2022 17:00,25.2,In
01/05/2022 18:00,20.77,In
01/05/2022 19:00,19.91,In
01/05/2022 20:00,17.96,In
01/05/2022 21:00,15.04,In
01/05/2022 22:00,16.37,In
01/05/2022 23:00,14.66,In
01/06/2022 00:00,13.75,In
01/06/2022 01:00,11.11,In
01/06/2022 02:00,13.68,In
01/06/2022 03:00,10.52,In
01/06/2022 04:00,13.51,In
01/06/2022 05:00,16.39,In
01/06/2022 06:00,13.81,In
01/06/2022 07:00,15.77,In
01/06/2022 08:00,18.12,In
01/06/2022 09:00,18.95,In
01/06/2022 10:00,19.14,In
01/06/2022 11:00,22.32,In
01/06/2022 12:00,21.92,In
01/06/2022 13:00,24.36,In
01/06/2022 14:00,22.9,In
01/06/2022 15:00,25.66,In
01/06/2022 16:00,22.26,In
01/06/2022 17:00,21.86,In
01/06/2022 18:00,21.98,In
01/06/2022 19:00,18.08,In
01/06/2022 20:00,18.27,In
01/06/2022 21:00,18.02,In
01/06/2022 22:00,13.07,In
01/06/2022 23:00,13.98,In
01/07/2022 00:00,13.12,In
01/07/2022 01:00,13.14,In
01/07/2022 02:00,10.52,In
01/07/2022 03:00,10.62,In
01/07/2022 04:00,13.43,In
01/07/2022 05:00,14.11,In
01/07/2022 06:00,15.3,In
01/07/2022 07:00,16.86,In
01/07/2022 08:00,17.18,In
01/07/2022 09:00,19.83,In
01/07/2022 10:00,21.35,In
01/07/2022 11:00,21.39,In
01/07/2022 12:00,25.44,In
01/07/2022 13:00,24.36,In
01/07/2022 14:00,22.57,In
01/07/2022 15:00,24.58,In
01/07/2022 16:00,22.03,In
01/07/2022 17:00,23.19,In
01/07/2022 18:00,22.39,In
01/07/2022 19:00,18.57,In
01/07/2022 20:00,19.16,In
01/07/2022 21:00,16.94,In
01/07/2022 22:00,15.99,In
01/07/2022 23:00,16.03,In
01/08/2022 00:00,12.51,In
01/08/2022 01:00,11.3,In
01/08/2022 02:00,10.93,In
01/08/2022 03:00,11.23,In
01/08/2022 04:00,12.71,In
01/08/2022 05:00,14.17,In
01/08/2022 06:00,15.33,In
01/08/2022 07:00,17.44,In
01/08/2022 08:00,18.02,In
01/08/2022 09:00,21.3,In
01/08/2022 10:00,20.68,In
01/08/2022 11:00,25.51,In
01/08/2022 12:00,23.95,In
01/08/2022 13:00,22.77,In
01/08/2022 14:00,22.71,In
01/08/2022 15:00,24.37,In
01/08/2022 16:00,22.93,In
01/08/2022 17:00,23.1,In
01/08/2022 18:00,21.57,In
01/08/2022 19:00,19.47,In
01/08/2022 20:00,16.98,In
01/08/2022 21:00,14.63,In
01/08/2022 22:00,14.46,In
01/08/2022 23:00,14.79,In
01/09/2022 00:00,13.06,In
01/09/2022 01:00,10.71,In
01/09/2022 02:00,12.21,In
01/09/2022 03:00,12.67,In
01/09/2022 04:00,11.74,In
01/09/2022 05:00,13.94,In
01/09/2022 06:00,15.07,In
01/09/2022 07:00,15.08,In
01/09/2022 08:00,18.43,In
01/09/2022 09:00,20.23,In
01/09/2022 10:00,22.3,In
01/09/2022 11:00,23.51,In
01/09/2022 12:00,21.54,In
01/09/2022 13:00,22.67,In
01/09/2022 14:00,24.62,In
01/09/2022 15:00,24.41,In
01/09/2022 16:00,23.81,In
01/09/2022 17:00,26.87,In
01/09/2022 18:00,21.69,In
01/09/2022 19:00,20.92,In
01/09/2022 20:00,19.14,In
01/09/2022 21:00,17.23,In
01/09/2022 22:00,14.62,In
01/09/2022 23:00,14.67,In
01/10/2022 00:00,11.88,In
01/10/2022 01:00,11.92,In
01/10/2022 02:00,11.42,In
01/10/2022 03:00,12.3,In
01/10/2022 04:00,15.58,In
01/10/2022 05:00,11.52,In
01/10/2022 06:00,15.82,In
01/10/2022 07:00,14.51,In
01/10/2022 08:00,17.43,In
01/10/2022 09:00,20.86,In
01/10/2022 10:00,21.08,In
01/10/2022 11:00,20.95,In
01/10/2022 12:00,22.34,In
01/10/2022 13:00,24.61,In
01/10/2022 14:00,23.12,In
01/10/2022 15:00,24.06,In
01/10/2022 16:00,23.25,In
01/10/2022 17:00,21.46,In
01/10/2022 18:00,23.57,In
01/10/2022 19:00,20.31,In
01/10/2022 20:00,15.57,In
01/10/2022 21:00,16.67,In
01/10/2022 22:00,14.21,In
01/10/2022 23:00,14.78,In
01/11/2022 00:00,11.85,In
01/11/2022 01:00,12.07,In
01/11/2022 02:00,12.61,In
01/11/2022 03:00,13.24,In
01/11/2022 04:00,11.36,In
01/11/2022 05:00,13.36,In
01/11/2022 06:00,14.43,In
01/11/2022 07:00,15.66,In
01/11/2022 08:00,20.12,In
01/11/2022 09:00,20.04,In
01/11/2022 10:00,19.49,In
01/11/2022 11:00,23.34,In
01/11/2022 12:00,25.74,In
01/11/2022 13:00,25.03,In
01/11/2022 14:00,22.18,In
01/11/2022 15:00,23.21,In
01/11/2022 16:00,24.72,In
01/11/2022 17:00,21.39,In
01/11/2022 18:00,21.53,In
01/11/2022 19:00,20.48,In
01/11/2022 20:00,16.89,In
01/11/2022 21:00,16.38,In
01/11/2022 22:00,11.11,In
01/11/2022 23:00,12.53,In
01/12/2022 00:00,12.5,In
01/12/2022 01:00,10.71,In
01/12/2022 02:00,13.96,In
01/12/2022 03:00,10.49,In
01/12/2022 04:00,12.28,In
01/12/2022 05:00,13.91,In
01/12/2022 06:00,16.73,In
01/12/2022 07:00,14.72,In
01/12/2022 08:00,19.4,In
01/12/2022 09:00,19.57,In
01/12/2022 10:00,19.82,In
01/12/2022 11:00,22.8,In
01/12/2022 12:00,23.44,In
01/12/2022 13:00,23.08,In
01/12/2022 14:00,24.08,In
01/12/2022 15:00,23.33,In
01/12/2022 16:00,23.33,In
01/12/2022 17:00,23.04,In
01/12/2022 18:00,22.9,In
01/12/2022 19:00,18.07,In
01/12/2022 20:00,20.56,In
01/12/2022 21:00,14.1,In
01/12/2022 22:00,14.82,In
01/12/2022 23:00,14.46,In
01/13/2022 00:00,13.14,In
01/13/2022 01:00,11.46,In
01/13/2022 02:00,11.75,In
01/13/2022 03:00,11.61,In
01/13/2022 04:00,12.1,In
01/13/2022 05:00,14.78,In
01/13/2022 06:00,15.43,In
01/13/2022 07:00,15.62,In
01/13/2022 08:00,19.08,In
01/13/2022 09:00,19.92,In
01/13/2022 10:00,21.98,In
01/13/2022 11:00,23.0,In
01/13/2022 12:00,22.2,In
01/13/2022 13:00,23.12,In
01/13/2022 14:00,24.9,In
01/13/2022 15:00,24.53,In
01/13/2022 16:00,23.17,In
01/13/2022 17:00,22.38,In
01/13/2022 18:00,22.53,In
01/13/2022 19:00,18.84,In
01/13/2022 20:00,18.66,In
01/13/2022 21:00,16.2,In
01/13/2022 22:00,14.74,In
01/13/2022 23:00,15.08,In
01/14/2022 00:00,13.79,In
01/14/2022 01:00,13.18,In
01/14/2022 02:00,13.57,In
01/14/2022 03:00,12.23,In
01/14/2022 04:00,13.62,In
01/14/2022 05:00,13.39,In
01/14/2022 06:00,15.39,In
01/14/2022 07:00,16.29,In
01/14/2022 08:00,18.12,In
01/14/2022 09:00,20.27,In
01/14/2022 10:00,20.02,In
01/14/2022 11:00,24.75,In
01/14/2022 12:00,21.99,In
01/14/2022 13:00,22.34,In
01/14/2022 14:00,25.39,In
01/14/2022 15:00,24.75,In
01/14/2022 16:00,23.95,In
01/14/2022 17:00,23.0,In
01/14/2022 18:00,20.99,In
01/14/2022 19:00,18.48,In
01/14/2022 20:00,18.09,In
01/14/2022 21:00,15.63,In
01/14/2022 22:00,16.17,In
01/14/2022 23:00,13.58,In
01/15/2022 00:00,11.81,In
01/15/2022 01:00,11.82,In
01/15/2022 02:00,12.5,In
01/15/2022 03:00,11.53,In
01/15/2022 04:00,11.82,In
01/15/2022 05:00,14.05,In
01/15/2022 06:00,15.29,In
01/15/2022 07:00,15.84,In
01/15/2022 08:00,17.43,In
01/15/2022 09:00,19.83,In
01/15/2022 10:00,19.26,In
01/15/2022 11:00,20.55,In
01/15/2022 12:00,22.33,In
01/15/2022 13:00,23.54,In
01/15/2022 14:00,24.37,In
01/15/2022 15:00,25.57,In
01/15/2022 16:00,24.23,In
01/15/2022 17:00,22.05,In
01/15/2022 18:00,20.98,In
01/15/2022 19:00,18.35,In
01/15/2022 20:00,17.98,In
01/15/2022 21:00,16.1,In
01/15/2022 22:00,15.39,In
01/15/2022 23:00,12.76,In
01/16/2022 00:00,13.43,In
01/16/2022 01:00,14.04,In
01/16/2022 02:00,11.87,In
01/16/2022 03:00,12.69,In
01/16/2022 04:00,13.63,In
01/16/2022 05:00,13.28,In
01/16/2022 06:00,15.27,In
01/16/2022 07:00,16.46,In
01/16/2022 08:00,18.12,In
01/16/2022 09:00,18.63,In
01/16/2022 10:00,21.03,In
01/16/2022 11:00,22.84,In
01/16/2022 12:00,24.94,In
01/16/2022 13:00,24.95,In
01/16/2022 14:00,26.58,In
01/16/2022 15:00,22.87,In
01/16/2022 16:00,24.24,In
01/16/2022 17:00,22.46,In
01/16/2022 18:00,23.63,In
01/16/2022 19:00,18.58,In
01/16/2022 20:00,16.99,In
01/16/2022 21:00,15.73,In
01/16/2022 22:00,12.45,In
01/16/2022 23:00,13.13,In
01/17/2022 00:00,11.89,In
01/17/2022 01:00,12.38,In
01/17/2022 02:00,12.41,In
01/17/2022 03:00,14.46,In
01/17/2022 04:00,13.94,In
01/17/2022 05:00,13.07,In
01/17/2022 06:00,13.92,In
01/17/2022 07:00,17.04,In
01/17/2022 08:00,16.42,In
01/17/2022 09:00,21.75,In
01/17/2022 10:00,22.42,In
01/17/2022 11:00,21.68,In
01/17/2022 12:00,21.14,In
01/17/2022 13:00,25.42,In
01/17/2022 14:00,23.86,In
01/17/2022 15:00,25.28,In
01/17/2022 16:00,21.28,In
01/17/2022 17:00,21.52,In
01/17/2022 18:00,21.01,In
01/17/2022 19:00,19.61,In
01/17/2022 20:00,17.46,In
01/17/2022 21:00,17.19,In
01/17/2022 22:00,13.72,In
01/17/2022 23:00,13.59,In
01/18/2022 00:00,12.95,In
01/18/2022 01:00,12.82,In
01/18/2022 02:00,12.85,In
01/18/2022 03:00,10.85,In
01/18/2022 04:00,10.96,In
01/18/2022 05:00,15.29,In
01/18/2022 06:00,15.4,In
01/18/2022 07:00,15.55,In
01/18/2022 08:00,19.86,In
01/18/2022 09:00,19.69,In
01/18/2022 10:00,22.42,In
01/18/2022 11:00,22.32,In
01/18/2022 12:00,25.67,In
01/18/2022 13:00,25.9,In
01/18/2022 14:00,23.7,In
01/18/2022 15:00,24.96,In
01/18/2022 16:00,23.97,In
01/18/2022 17:00,23.88,In
01/18/2022 18:00,19.84,In
01/18/2022 19:00,20.38,In
01/18/2022 20:00,19.27,In
01/18/2022 21:00,14.34,In
01/18/2022 22:00,13.58,In
01/18/2022 23:00,11.31,In
01/19/2022 00:00,12.48,In
01/19/2022 01:00,13.07,In
01/19/2022 02:00,13.8,In
01/19/2022 03:00,12.29,In
01/19/2022 04:00,14.76,In
01/19/2022 05:00,12.1,In
01/19/2022 06:00,12.96,In
01/19/2022 07:00,16.38,In
01/19/2022 08:00,18.46,In
01/19/2022 09:00,19.51,In
01/19/2022 10:00,18.52,In
01/19/2022 11:00,22.14,In
01/19/2022 12:00,21.63,In
01/19/2022 13:00,24.6,In
01/19/2022 14:00,24.44,In
01/19/2022 15:00,22.67,In
01/19/2022 16:00,22.58,In
01/19/2022 17:00,20.97,In
01/19/2022 18:00,20.92,In
01/19/2022 19:00,20.7,In
01/19/2022 20:00,16.82,In
01/19/2022 21:00,17.05,In
01/19/2022 22:00,14.36,In
01/19/2022 23:00,12.81,In
01/20/2022 00:00,12.68,In
01/20/2022 01:00,10.96,In
01/20/2022 02:00,11.34,In
01/20/2022 03:00,10.77,In
01/20/2022 04:00,15.16,In
01/20/2022 05:00,13.8,In
01/20/2022 06:00,14.16,In
01/20/2022 07:00,16.7,In
01/20/2022 08:00,17.87,In
01/20/2022 09:00,19.29,In
01/20/2022 10:00,21.74,In
01/20/2022 11:00,23.15,In
01/20/2022 12:00,22.56,In
01/20/2022 13:00,23.1,In
01/20/2022 14:00,23.67,In
01/20/2022 15:00,21.03,In
01/20/2022 16:00,21.38,In
01/20/2022 17:00,23.88,In
01/20/2022 18:00,22.97,In
01/20/2022 19:00,19.25,In
01/20/2022 20:00,18.69,In
01/20/2022 21:00,16.82,In
01/20/2022 22:00,18.69,In
01/20/2022 23:00,15.1,In
01/21/2022 00:00,12.65,In
01/21/2022 01:00,11.06,In
01/21/2022 02:00,10.07,In
01/21/2022 03:00,12.45,In
01/21/2022 04:00,11.9,In
01/21/2022 05:00,12.05,In
01/21/2022 06:00,14.22,In
01/21/2022 07:00,15.15,In
01/21/2022 08:00,20.02,In
01/21/2022 09:00,20.61,In
01/21/2022 10:00,20.99,In
01/21/2022 11:00,24.02,In
01/21/2022 12:00,23.29,In
01/21/2022 13:00,22.76,In
01/21/2022 14:00,25.83,In
01/21/2022 15:00,24.44,In
01/21/2022 16:00,21.95,In
01/21/2022 17:00,22.01,In
01/21/2022 18:00,19.95,In
01/21/2022 19:00,17.89,In
01/21/2022 20:00,19.11,In
01/21/2022 21:00,18.74,In
01/21/2022 22:00,13.32,In
01/21/2022 23:00,14.43,In
01/22/2022 00:00,12.02,In
01/22/2022 01:00,11.62,In
01/22/2022 02:00,11.29,In
01/22/2022 03:00,11.17,In
01/22/2022 04:00,12.86,In
01/22/2022 05:00,12.76,In
01/22/2022 06:00,15.32,In
01/22/2022 07:00,16.39,In
01/22/2022 08:00,17.71,In
01/22/2022 09:00,18.46,In
01/22/2022 10:00,20.31,In
01/22/2022 11:00,23.15,In
01/22/2022 12:00,23.8,In
01/22/2022 13:00,22.62,In
01/22/2022 14:00,24.12,In
01/22/2022 15:00,24.7,In
01/22/2022 16:00,21.19,In
01/22/2022 17:00,22.89,In
01/22/2022 18:00,20.2,In
01/22/2022 19:00,20.24,In
01/22/2022 20:00,17.08,In
01/22/2022 21:00,14.28,In
01/22/2022 22:00,13.05,In
01/22/2022 23:00,13.82,In
01/23/2022 00:00,13.12,In
01/23/2022 01:00,11.12,In
01/23/2022 02:00,12.77,In
01/23/2022 03:00,10.21,In
01/23/2022 04:00,12.72,In
01/23/2022 05:00,12.3,In
01/23/2022 06:00,14.22,In
01/23/2022 07:00,16.5,In
01/23/2022 08:00,16.97,In
01/23/2022 09:00,19.09,In
01/23/2022 10:00,22.21,In
01/23/2022 11:00,21.55,In
01/23/2022 12:00,24.2,In
01/23/2022 13:00,22.44,In
01/23/2022 14:00,24.64,In
01/23/2022 15:00,25.53,In
01/23/2022 16:00,20.23,In
01/23/2022 17:00,21.29,In
01/23/2022 18:00,21.69,In
01/23/2022 19:00,19.31,In
01/23/2022 20:00,18.45,In
01/23/2022 21:00,15.72,In
01/23/2022 22:00,15.1,In
01/23/2022 23:00,13.57,In
01/24/2022 00:00,14.21,In
01/24/2022 01:00,12.51,In
01/24/2022 02:00,12.41,In
01/24/2022 03:00,11.71,In
01/24/2022 04:00,12.22,In
01/24/2022 05:00,13.24,In
01/24/2022 06:00,15.47,In
01/24/2022 07:00,15.94,In
01/24/2022 08:00,18.35,In
01/24/2022 09:00,22.04,In
01/24/2022 10:00,22.05,In
01/24/2022 11:00,21.85,In
01/24/2022 12:00,24.64,In
01/24/2022 13:00,23.31,In
01/24/2022 14:00,21.55,In
01/24/2022 15:00,22.59,In
01/24/2022 16:00,20.95,In
01/24/2022 17:00,21.82,In
01/24/2022 18:00,21.02,In
01/24/2022 19:00,21.56,In
01/24/2022 20:00,18.39,In
01/24/2022 21:00,16.18,In
01/24/2022 22:00,16.0,In
01/24/2022 23:00,11.1,In
01/25/2022 00:00,13.09,In
01/25/2022 01:00,13.13,In
01/25/2022 02:00,10.23,In
01/25/2022 03:00,13.58,In
01/25/2022 04:00,13.21,In
01/25/2022 05:00,13.26,In
01/25/2022 06:00,15.76,In
01/25/2022 07:00,19.17,In
01/25/2022 08:00,18.22,In
01/25/2022 09:00,19.85,In
01/25/2022 10:00,20.45,In
01/25/2022 11:00,21.22,In
01/25/2022 12:00,24.19,In
01/25/2022 13:00,22.77,In
01/25/2022 14:00,24.09,In
01/25/2022 15:00,23.22,In
01/25/2022 16:00,23.77,In
01/25/2022 17:00,22.64,In
01/25/2022 18:00,22.25,In
01/25/2022 19:00,18.94,In
01/25/2022 20:00,17.68,In
01/25/2022 21:00,15.27,In
01/25/2022 22:00,14.47,In
01/25/2022 23:00,14.21,In
01/26/2022 00:00,13.71,In
01/26/2022 01:00,11.1,In
01/26/2022 02:00,13.04,In
01/26/2022 03:00,13.83,In
01/26/2022 04:00,13.3,In
01/26/2022 05:00,16.01,In
01/26/2022 06:00,14.07,In
01/26/2022 07:00,14.95,In
01/26/2022 08:00,15.87,In
01/26/2022 09:00,21.35,In
01/26/2022 10:00,21.79,In
01/26/2022 11:00,22.18,In
01/26/2022 12:00,23.53,In
01/26/2022 13:00,22.44,In
01/26/2022 14:00,26.93,In
01/26/2022 15:00,23.95,In
01/26/2022 16:00,23.33,In
01/26/2022 17:00,23.11,In
01/26/2022 18:00,21.58,In
01/26/2022 19:00,19.82,In
01/26/2022 20:00,17.05,In
01/26/2022 21:00,17.01,In
01/26/2022 22:00,17.26,In
01/26/2022 23:00,15.37,In
01/27/2022 00:00,14.72,In
01/27/2022 01:00,11.59,In
01/27/2022 02:00,10.81,In
01/27/2022 03:00,12.05,In
01/27/2022 04:00,12.87,In
01/27/2022 05:00,15.07,In
01/27/2022 06:00,12.97,In
01/27/2022 07:00,18.28,In
01/27/2022 08:00,17.81,In
01/27/2022 09:00,19.04,In
01/27/2022 10:00,19.79,In
01/27/2022 11:00,20.26,In
01/27/2022 12:00,24.18,In
01/27/2022 13:00,23.88,In
01/27/2022 14:00,22.45,In
01/27/2022 15:00,22.24,In
01/27/2022 16:00,22.79,In
01/27/2022 17:00,24.25,In
01/27/2022 18:00,20.69,In
01/27/2022 19:00,17.75,In
01/27/2022 20:00,17.71,In
01/27/2022 21:00,16.12,In
01/27/2022 22:00,11.76,In
01/27/2022 23:00,13.69,In
01/28/2022 00:00,12.53,In
01/28/2022 01:00,13.04,In
01/28/2022 02:00,14.22,In
01/28/2022 03:00,13.56,In
01/28/2022 04:00,12.48,In
01/28/2022 05:00,12.43,In
01/28/2022 06:00,18.09,In
01/28/2022 07:00,16.52,In
01/28/2022 08:00,18.02,In
01/28/2022 09:00,19.52,In
01/28/2022 10:00,21.24,In
01/28/2022 11:00,22.07,In
01/28/2022 12:00,22.51,In
01/28/2022 13:00,23.14,In
01/28/2022 14:00,23.96,In
01/28/2022 15:00,23.14,In
01/28/2022 16:00,22.34,In
01/28/2022 17:00,22.37,In
01/28/2022 18:00,20.69,In
01/28/2022 19:00,21.36,In
01/28/2022 20:00,14.82,In
01/28/2022 21:00,17.76,In
01/28/2022 22:00,16.5,In
01/28/2022 23:00,11.27,In
01/29/2022 00:00,12.39,In
01/29/2022 01:00,11.76,In
01/29/2022 02:00,10.31,In
01/29/2022 03:00,11.27,In
01/29/2022 04:00,11.47,In
01/29/2022 05:00,15.86,In
01/29/2022 06:00,16.12,In
01/29/2022 07:00,17.97,In
01/29/2022 08:00,18.87,In
01/29/2022 09:00,18.2,In
01/29/2022 10:00,20.37,In
01/29/2022 11:00,22.83,In
01/29/2022 12:00,21.73,In
01/29/2022 13:00,24.65,In
01/29/2022 14:00,23.71,In
01/29/2022 15:00,23.35,In
01/29/2022 16:00,24.05,In
01/29/2022 17:00,22.78,In
01/29/2022 18:00,20.57,In
01/29/2022 19:00,20.94,In
01/29/2022 20:00,16.7,In
01/29/2022 21:00,17.19,In
01/29/2022 22:00,15.71,In
01/29/2022 23:00,13.39,In
01/30/2022 00:00,13.2,In
01/30/2022 01:00,10.7,In
01/30/2022 02:00,13.11,In
01/30/2022 03:00,11.98,In
01/30/2022 04:00,12.18,In
01/30/2022 05:00,15.02,In
01/30/2022 06:00,14.15,In
01/30/2022 07:00,14.76,In
01/30/2022 08:00,16.13,In
01/30/2022 09:00,20.28,In
01/30/2022 10:00,19.46,In
01/30/2022 11:00,24.35,In
01/30/2022 12:00,20.7,In
01/30/2022 13:00,25.83,In
01/30/2022 14:00,24.25,In
01/30/2022 15:00,23.68,In
01/30/2022 16:00,22.54,In
01/30/2022 17:00,22.72,In
01/30/2022 18:00,20.95,In
01/30/2022 19:00,20.88,In
01/30/2022 20:00,18.14,In
01/30/2022 21:00,16.63,In
01/30/2022 22:00,14.56,In
01/30/2022 23:00,13.69,In
01/31/2022 00:00,13.17,In
01/31/2022 01:00,10.15,In
01/31/2022 02:00,10.38,In
01/31/2022 03:00,13.1,In
01/31/2022 04:00,13.01,In
01/31/2022 05:00,13.54,In
01/31/2022 06:00,15.02,In
01/31/2022 07:00,16.86,In
01/31/2022 08:00,17.35,In
01/31/2022 09:00,18.62,In
01/31/2022 10:00,21.24,In
01/31/2022 11:00,21.07,In
01/31/2022 12:00,23.69,In
01/31/2022 13:00,21.75,In
01/31/2022 14:00,25.23,In
01/31/2022 15:00,24.36,In
01/31/2022 16:00,23.5,In
01/31/2022 17:00,23.42,In
01/31/2022 18:00,23.0,In
01/31/2022 19:00,20.77,In
01/31/2022 20:00,15.79,In
01/31/2022 21:00,14.91,In
01/31/2022 22:00,14.25,In
01/31/2022 23:00,13.79,In
02/01/2022 00:00,13.43,In
02/01/2022 01:00,11.33,In
02/01/2022 02:00,12.22,In
02/01/2022 03:00,11.3,In
02/01/2022 04:00,12.07,In
02/01/2022 05:00,12.07,In
02/01/2022 06:00,13.89,In
02/01/2022 07:00,14.83,In
02/01/2022 08:00,16.83,In
02/01/2022 09:00,20.82,In
02/01/2022 10:00,19.86,In
02/01/2022 11:00,25.4,In
02/01/2022 12:00,23.79,In
02/01/2022 13:00,24.02,In
02/01/2022 14:00,22.97,In
02/01/2022 15:00,24.64,In
02/01/2022 16:00,22.51,In
02/01/2022 17:00,22.39,In
02/01/2022 18:00,24.07,In
02/01/2022 19:00,19.44,In
02/01/2022 20:00,19.38,In
02/01/2022 21:00,15.6,In
02/01/2022 22:00,14.96,In
02/01/2022 23:00,15.88,In
02/02/2022 00:00,12.05,In
02/02/2022 01:00,14.38,In
02/02/2022 02:00,12.85,In
02/02/2022 03:00,11.53,In
02/02/2022 04:00,13.56,In
02/02/2022 05:00,14.92,In
02/02/2022 06:00,15.75,In
02/02/2022 07:00,14.56,In
02/02/2022 08:00,17.13,In
02/02/2022 09:00,19.26,In
02/02/2022 10:00,20.91,In
02/02/2022 11:00,22.99,In
02/02/2022 12:00,23.41,In
02/02/2022 13:00,22.19,In
02/02/2022 14:00,24.46,In
02/02/2022 15:00,24.53,In
02/02/2022 16:00,23.87,In
02/02/2022 17:00,23.54,In
02/02/2022 18:00,22.0,In
02/02/2022 19:00,20.1,In
02/02/2022 20:00,17.92,In
02/02/2022 21:00,14.45,In
02/02/2022 22:00,15.52,In
02/02/2022 23:00,14.01,In
02/03/2022 00:00,13.13,In
02/03/2022 01:00,10.67,In
02/03/2022 02:00,10.7,In
02/03/2022 03:00,13.47,In
02/03/2022 04:00,12.76,In
02/03/2022 05:00,14.58,In
02/03/2022 06:00,15.03,In
02/03/2022 07:00,16.48,In
02/03/2022 08:00,19.13,In
02/03/2022 09:00,18.93,In
02/03/2022 10:00,21.12,In
02/03/2022 11:00,21.69,In
02/03/2022 12:00,22.67,In
02/03/2022 13:00,23.42,In
02/03/2022 14:00,24.27,In
02/03/2022 15:00,23.22,In
02/03/2022 16:00,24.7,In
02/03/2022 17:00,21.17,In
02/03/2022 18:00,20.78,In
02/03/2022 19:00,19.03,In
02/03/2022 20:00,19.74,In
02/03/2022 21:00,16.68,In
02/03/2022 22:00,16.24,In
02/03/2022 23:00,11.97,In
02/04/2022 00:00,13.12,In
02/04/2022 01:00,13.27,In
02/04/2022 02:00,12.1,In
02/04/2022 03:00,13.48,In
02/04/2022 04:00,12.18,In
02/04/2022 05:00,15.45,In
